100032198,Casa Idaman,1500,3
99994730,Flat Taman Bukit Angkasa,1200,3
99424623,Platinum Lake PV 21,1500,3
95987225,Platinum Lake PV 20,1500,4
98048623,M Vertica,1800,3
100251282,Impian Kota,1500,3
100318477,Desa Dua Aman Puri,850,3
100318476,The Andes Condo Villa - Bukit Jalil,3700,3
100318578,Kepong Sentral Condominium,999,3
100318535,Nuri Court,1500,3
100318501,The Hipster - Taman Desa,2100,3
100318448,Mont Kiara Astana,4500,4
100250824,Sentrio Suites,1550,1
100318198,Majestic Maxim,2300,3
100318196,Tiara Mutiara 2,1500,3
100258228,PV9 Residences - Taman Melati,2499,4
99906090,Bukit Pandan 2,1450,3
100198517,Angkasa Impian 1,4000,4
100318097,Majestic Maxim,1100,2
100318185,Majestic Maxim,1750,3
100231705,EkoCheras Service Apartment,1800,1
100317989,Apartment Sentul,1700,2
100317959,Camellia,2200,1
100317753,Bayu - Pandan Jaya,1700,3
100317749,Casa Green (Bukit Jalil),2000,4
100317885,10 Semantan,1948,2
100317639,Impiana Sky Residensi,1300,3
100317852,M Vertica,2200,3
100317846,Damai Hillpark,1600,3
100208556,Vista Langkawi - PV18,1300,3
99984580,Platinum Lake PV 13,2400,3
100317596,Majestic Maxim,1400,3
99363260,Majestic Maxim,2500,3
100317790,1 Razak Mansion,1200,3
100317778,Putra Villa,1800,3
99662226,Vina Versatile Homes,1400,1
99912677,M Vertica,1800,3
99947710,PV9 Residences - Taman Melati,550,4
100317570,Residensi Jalilmas,1000,3
100317353,Sri Putramas,1500,3
100317337,Sri Putramas,1600,3
100317317,Pangsapuri Melur (Sentul),1400,3
100317514,Platinum OUG Residence,1800,3
100317509,Majestic Maxim,1100,2
99958032,Majestic Maxim,1488,3
99887598,vista wirajaya 2,1500,3
100253318,Danau Kota Suite Apartments,2200,3
100317301,Anjung Hijau,1400,2
100317300,Sri Putramas,1500,3
100317269,Residensi Pandanmas 1,1600,3
95520885,Awana Puri Condominiums,1500,3
93216410,Sri Pelangi (Jalan Genting Kelang),1200,3
98021559,Taman Miharja Apartment (LRT Miharja),1500,3
73348138,Taman Miharja Apartment (LRT Miharja),1400,1
100317110,Endah Ria,1600,4
100198991,Putra Villa,1800,3
100275203,Kenari Apartment (Taman Melati),1600,3
100317081,Mutiara Magna,1000,3
100247364,Kenari Apartment (Taman Melati),1600,3
100285044,The Holmes,1600,3
100227255,Suasana Lumayan,1600,4
100317199,The Park 2 - Pavilion Bukit Jalil,3200,2
100248702,Seksyen 1 Wangsa Maju Flat,900,2
100080858,Platinum Hill PV 6,1600,4
100082207,M3 Residency,1700,3
99870341,Platinum Lake PV 13,1800,4
100208820,Putra Villa,1800,3
100317031,TR Residence,2500,3
100317147,Majestic Maxim,1300,2
99909032,Genting Court Condominium,1100,3
99975064,Prima Court,900,3
100316982,Aliran Damai Apartments,1200,3
100316974,Royal Regent (Sri Putramas 3),2000,3
100316829,Vue Residences,1700,2
100316828,Tasikmas,1300,3
100316922,Flat Taman Bukit Angkasa,1200,3
100316764,Seksyen 2 Wangsa Maju Flat Block D,1200,2
100316742,Alpha Villa,1500,3
100316756,M Centura,2500,3
100316540,Wangsa Maju Seksyen2 Flat Block F,750,2
100316527,28 Boulevard,1700,1
100316661,Residensi Pandanmas 2,1200,3
100316652,Regalia Residence,2100,1
100316636,Pangsapuri Mawar (Sentul),1400,3
100316599,Casa Kiara 1,3000,4
100218018,Nusa Mewah Villa Condominium,1400,3
100316314,Mizumi Residences,1400,3
100316227,Flat Pkns Au3,650,2
100316158,Maxim Citilights,1350,3
76518404,Maxim Citilights,1600,1
87714486,Maxim Citilights,1700,2
100250366,Kenanga Point,1599,3
100316127,Royal Domain Sri Putramas 2,1880,3
100316108,Villa Crystal,1800,3
100316104,Damansara Foresta,2000,4
100316101,Damansara Foresta,2800,3
98738510,Tuan Residency,1800,3
100003084,PPA1M Bukit Jalil,1300,4
100315810,Vista Angkasa,1800,3
100172151,Suasana Lumayan,1800,4
100315773,Menara Sri Cendana,1500,3
100315645,Residensi Tasikmas,1300,3
100315606,Bayu Tasik 1,1200,3
95891322,Cheria Heights Condo / Apartments,600,3
100315556,The Nest Residence - Genting Klang,1499,2
100315549,Residensi Pandanmas 2,1300,3
100315537,Residensi Pandanmas 2,1000,3
100315337,Majestic Maxim,1400,2
100315340,Pangsapuri Sri Penara,900,3
100315514,Permai Ria - Bukit Ampang Permai,900,3
100315492,Residensi Alam Damai (PR1MA - Alam Damai),1300,3
100315490,Blok Desa Awana Apartment,1000,3
100315486,Sky Awani Residensi,1550,3
100315430,The Address - Taman Desa,3300,4
98145596,Regalia Residence,2600,2
83543103,The Scott Garden,1400,1
100315398,Casa Idaman,1700,3
100175889,216 Residences,1800,2
100315363,Bandar Baru Sentul,850,2
99686286,PPA1M Mercu Jalil,1300,4
100195328,Residensi Jalilmas,1200,3
100314994,The Era,2800,3
99874264,Segar Apartments,1000,3
99738981,Sri Penara,800,3
100314931,The Meritz,3800,2
100314911,Casa Mutiara,2000,2
100314730,Residensi Hijauan Lumayan,1200,3
100226453,Greenview Apartments,1000,5
100314698,Sri Putramas,1500,3
100314685,M Vertica,2300,4
99251712,M Vertica,1499,3
100314815,Bayu Tasik 1,1400,3
100314485,Pangsapuri Melur (Sentul),1750,3
100274489,One Maxim,1700,3
100314660,Maxim Citilights,1350,3
100314646,Pangsapuri Bukit Baru,750,3
100314619,OUG Parklane,1600,3
100314405,Royal Regent (Sri Putramas 3),1800,2
100198015,PV9 Residences - Taman Melati,1800,3
100102985,Vista Angkasa,1300,2
100225460,Hartamas Regency II,5800,7
100314147,Arte Plus Jalan Ampang,1500,1
100314312,Impiana Sky Residensi,1250,3
100207334,M Centura,2800,3
100207869,M Centura,2500,3
100314273,Maxim Residences,1850,3
100314272,The Park 2 - Pavilion Bukit Jalil,3500,2
100218337,Platinum Teratai Residence,1499,3
100296327,Pangsapuri Mawar (Sentul),1300,3
100133395,Pangsapuri Melur (Sentul),1500,3
100314057,Residensi Vista Wirajaya,1450,3
100314051,Suasana Lumayan,1600,3
100314024,KL Gateway Premium Residences,2000,1
100313974,M Vertica,2600,3
100313954,Ascenda Residences - SkyArena Setapak,1700,3
100313951,The Nest Residence - Genting Klang,1500,3
99664479,Vista Wirajaya 2 Residensi - PV9,1500,3
100287860,Infiniti 3 Residences,2500,3
99664484,Vista Wirajaya 2 Residensi - PV9,1500,3
100313933,Lexa Residence - The Quartz WM,1500,3
98877856,Idaman Residence - KLCC,4800,3
100313889,Setapak Green,1799,4
100313886,Residensi Vista Wirajaya,1550,3
100313885,Majestic Maxim,1000,3
99862321,Residensi Sefina Mont Kiara,4600,3
100313848,Villa Danau,1250,3
99784415,Residensi Pandanmas 1,1500,3
100313778,Kenanga Point,1700,3
97976915,Kenanga Point,1900,3
97976574,Kenanga Point,2100,3
99579743,M Vertica,2300,3
99777594,Gembira Park,1250,3
99883028,Aman Putra Apartment,800,3
100184282,Nova 1 Apartment,1250,2
100263541,Residensi Vista Wirajaya,1450,3
99980862,Putra Villa,1800,3
99821489,Residensi Vista Wirajaya,1650,3
99821218,Residensi Vista Wirajaya,1750,3
98180610,Seri sentosa old Klang road,650,3
95364037,Taman Desa Cheras,700,2
100313594,Plaza Menjalara,1600,3
100047657,Residensi Vista Wirajaya,450,3
99984437,PPR Kampung Baru Air Panas,880,3
100313345,Pantai Hillpark 5,1800,3
100313414,Aman Dua,1000,3
100313260,EkoCheras Service Apartment,3500,2
100313255,Pangsapuri Mawar (Sentul),1400,3
100313211,Desa Villas,2500,4
100313148,Melur Apartment (Sentul),1700,3
100312995,M Centura,2500,3
100312994,Inspirasi Mont Kiara,2950,3
100313101,M Centura,2400,4
100222061,PV9 Residences - Taman Melati,1800,3
100313080,Arena Green,1300,2
100313054,Flat Taman Bukit Angkasa,1100,3
100312740,Panorama Residences (Sentul),1800,3
100312920,The Veo - Kuala Lumpur,2200,1
100312700,Residensi Rampai II,2000,4
100192786,Majestic Maxim,999,2
100038740,PPR Sri Aman,800,3
99907005,Residensi Rampai II,1900,4
100043370,Taman Bukit Segar,650,3
98845611,PPA1M Metropolitan Kepong,1300,4
95301490,PPA1M METROPOLITAN KEPONG,1600,5
98479193,Apartment Seri Ceria 2,800,3
100097207,Desa Satu,650,3
96434606,Desa Satu,3600,3
100312405,Putra Villa,1800,3
100312152,28 Boulevard,1900,2
100312066,THE FENNEL AT SENTUL EAST,3400,3
100312333,222 Residency,650,4
100222714,Majestic Maxim,1600,2
100174598,Puncak Desa Apartment,600,3
99534358,Trinity Aquata,1900,3
100311820,Residensi Vista Wirajaya,1500,3
100149966,Arena Green,1050,3
99717664,D'Suria Condominium,2400,3
99858651,Cheras Business Centre,1100,3
99767497,Waldorf Tower,2800,3
